Cnty_ID,Year,Crash_Sev_ID,crash_count
Bee,2018,Not Injured,330
Bee,2018,Possible Injury,71
Bee,2018,Unknown,7
Bee,2019,Incapacitating Injury,23
Bee,2019,Killed,2
Bee,2019,Non-Incapacitating,36
Bee,2019,Not Injured,327
Bee,2019,Possible Injury,58
Bee,2019,Unknown,32
Bee,2020,Incapacitating Injury,13
Bee,2020,Killed,5
Bee,2020,Non-Incapacitating,35
Bee,2020,Not Injured,329
Bee,2020,Possible Injury,36
Bee,2020,Unknown,33
Bee,2021,Incapacitating Injury,19
Bee,2021,Killed,4
Bee,2021,Non-Incapacitating,38
Bee,2021,Not Injured,353
Bee,2021,Possible Injury,46
Bee,2021,Unknown,25
Bee,2022,Incapacitating Injury,14
Bee,2022,Killed,4
Bee,2022,Non-Incapacitating,39
Bee,2022,Not Injured,317
Bee,2022,Possible Injury,51
Bee,2022,Unknown,19
Bee,2023,Incapacitating Injury,13
Bee,2023,Killed,4
Bee,2023,Non-Incapacitating,59
Bee,2023,Not Injured,279
Bee,2023,Possible Injury,29
Bee,2023,Unknown,10
Bee,2024,Incapacitating Injury,27
Bee,2024,Killed,6
Bee,2024,Non-Incapacitating,53
Bee,2024,Not Injured,259
Bee,2024,Possible Injury,34
Bee,2024,Unknown,12
Bell,2017,Incapacitating Injury,178
Bell,2017,Killed,53
Bell,2017,Non-Incapacitating,825
Bell,2017,Not Injured,4172
Bell,2017,Possible Injury,920
Bell,2017,Unknown,274
Bell,2018,Incapacitating Injury,135
Bell,2018,Killed,29
Bell,2018,Non-Incapacitating,751
Bell,2018,Not Injured,4110
Bell,2018,Possible Injury,1117
Bell,2018,Unknown,249
Bell,2019,Incapacitating Injury,150
Bell,2019,Killed,40
Bell,2019,Non-Incapacitating,815
Bell,2019,Not Injured,4182
Bell,2019,Possible Injury,1123
Bell,2019,Unknown,284
Bell,2020,Incapacitating Injury,171
Bell,2020,Killed,50
Bell,2020,Non-Incapacitating,727
Bell,2020,Not Injured,3648
Bell,2020,Possible Injury,984
Bell,2020,Unknown,324
Bell,2021,Incapacitating Injury,192
Bell,2021,Killed,41
Bell,2021,Non-Incapacitating,972
Bell,2021,Not Injured,4427
Bell,2021,Possible Injury,949
Bell,2021,Unknown,357
Bell,2022,Incapacitating Injury,209
Bell,2022,Killed,51
Bell,2022,Non-Incapacitating,1017
Bell,2022,Not Injured,4399
Bell,2022,Possible Injury,863
Bell,2022,Unknown,333
Bell,2023,Incapacitating Injury,185
Bell,2023,Killed,53
Bell,2023,Non-Incapacitating,1150
Bell,2023,Not Injured,4385
Bell,2023,Possible Injury,792
Bell,2023,Unknown,380
Bell,2024,Incapacitating Injury,205
Bell,2024,Killed,55
Bell,2024,Non-Incapacitating,1086
Bell,2024,Not Injured,4292
Bell,2024,Possible Injury,797
Bell,2024,Unknown,359
Bexar,2017,Incapacitating Injury,1043
Bexar,2017,Killed,159
Bexar,2017,Non-Incapacitating,4936
Bexar,2017,Not Injured,38431
Bexar,2017,Possible Injury,10955
Bexar,2017,Unknown,6274
Bexar,2018,Incapacitating Injury,684
Bexar,2018,Killed,181
Bexar,2018,Non-Incapacitating,4327
Bexar,2018,Not Injured,38524
Bexar,2018,Possible Injury,10734
Bexar,2018,Unknown,6030
Bexar,2019,Incapacitating Injury,735
Bexar,2019,Killed,182
Bexar,2019,Non-Incapacitating,4138
Bexar,2019,Not Injured,40568
Bexar,2019,Possible Injury,11046
Bexar,2019,Unknown,6358
Bexar,2020,Incapacitating Injury,583
Bexar,2020,Killed,185
Bexar,2020,Non-Incapacitating,3420
Bexar,2020,Not Injured,32228
Bexar,2020,Possible Injury,7615
Bexar,2020,Unknown,5445
Bexar,2021,Incapacitating Injury,742
Bexar,2021,Killed,229
Bexar,2021,Non-Incapacitating,5279
Bexar,2021,Not Injured,37508
Bexar,2021,Possible Injury,7502
Bexar,2021,Unknown,6211
Bexar,2022,Incapacitating Injury,754
Bexar,2022,Killed,233
Bexar,2022,Non-Incapacitating,5994
Bexar,2022,Not Injured,38047
Bexar,2022,Possible Injury,7244
Bexar,2022,Unknown,6195
Bexar,2023,Incapacitating Injury,752
Bexar,2023,Killed,207
Bexar,2023,Non-Incapacitating,6595
Bexar,2023,Not Injured,39163
Bexar,2023,Possible Injury,6866
Bexar,2023,Unknown,5961
Bexar,2024,NA,1
Bexar,2024,Incapacitating Injury,806
Bexar,2024,Killed,210
Bexar,2024,Non-Incapacitating,7413
Bexar,2024,Not Injured,39463
Bexar,2024,Possible Injury,6363
Bexar,2024,Unknown,5515
Blanco,2017,Incapacitating Injury,15
Blanco,2017,Killed,2
Blanco,2017,Non-Incapacitating,35
Blanco,2017,Not Injured,106
Blanco,2017,Possible Injury,22
Blanco,2017,Unknown,6
Blanco,2018,Incapacitating Injury,12
Blanco,2018,Killed,5
Blanco,2018,Non-Incapacitating,27
Blanco,2018,Not Injured,161
Blanco,2018,Possible Injury,24
Blanco,2018,Unknown,8
Blanco,2019,Incapacitating Injury,14
Blanco,2019,Killed,4
Blanco,2019,Non-Incapacitating,39
Blanco,2019,Not Injured,125
Blanco,2019,Possible Injury,31
Blanco,2019,Unknown,13
Blanco,2020,Incapacitating Injury,18
Blanco,2020,Killed,4
Blanco,2020,Non-Incapacitating,36
Blanco,2020,Not Injured,100
Blanco,2020,Possible Injury,19
Blanco,2020,Unknown,13
Blanco,2021,Incapacitating Injury,24
Blanco,2021,Killed,5
Blanco,2021,Non-Incapacitating,27
Blanco,2021,Not Injured,180
Blanco,2021,Possible Injury,26
Blanco,2021,Unknown,10
Blanco,2022,Incapacitating Injury,21
Blanco,2022,Killed,5
Blanco,2022,Non-Incapacitating,38
Blanco,2022,Not Injured,169
Blanco,2022,Possible Injury,20
Blanco,2022,Unknown,9
Blanco,2023,Incapacitating Injury,17
Blanco,2023,Killed,5
Blanco,2023,Non-Incapacitating,43
Blanco,2023,Not Injured,177
Blanco,2023,Possible Injury,26
Blanco,2023,Unknown,8
Blanco,2024,Incapacitating Injury,22
Blanco,2024,Killed,9
Blanco,2024,Non-Incapacitating,42
Blanco,2024,Not Injured,156
Blanco,2024,Possible Injury,19
Blanco,2024,Unknown,3
Borden,2017,Incapacitating Injury,2
Borden,2017,Non-Incapacitating,6
Borden,2017,Not Injured,25
Borden,2017,Possible Injury,5
Borden,2018,Incapacitating Injury,2
Borden,2018,Non-Incapacitating,4
Borden,2018,Not Injured,25
Borden,2018,Possible Injury,3
Borden,2019,Incapacitating Injury,2
Borden,2019,Killed,3
Borden,2019,Non-Incapacitating,4
Borden,2019,Not Injured,14
Borden,2019,Possible Injury,2
Borden,2019,Unknown,1
Borden,2020,Incapacitating Injury,1
Borden,2020,Killed,2
Borden,2020,Non-Incapacitating,1
Borden,2020,Not Injured,3
Borden,2020,Possible Injury,2
Borden,2021,Incapacitating Injury,1
Borden,2021,Non-Incapacitating,3
Borden,2021,Not Injured,4
Borden,2021,Possible Injury,2
Borden,2022,Incapacitating Injury,1
Borden,2022,Non-Incapacitating,2
Borden,2022,Not Injured,13
Borden,2022,Possible Injury,1
Borden,2022,Unknown,1
Borden,2023,Incapacitating Injury,4
Borden,2023,Killed,1
Borden,2023,Non-Incapacitating,9
Borden,2023,Not Injured,16
Borden,2023,Possible Injury,2
Borden,2023,Unknown,1
Borden,2024,Incapacitating Injury,4
Borden,2024,Non-Incapacitating,6
Borden,2024,Not Injured,11
Borden,2024,Possible Injury,3
Bosque,2017,Incapacitating Injury,8
Bosque,2017,Killed,3
Bosque,2017,Non-Incapacitating,20
Bosque,2017,Not Injured,152
Bosque,2017,Possible Injury,26
Bosque,2018,Incapacitating Injury,6
Bosque,2018,Killed,3
Bosque,2018,Non-Incapacitating,22
Bosque,2018,Not Injured,130
Bosque,2018,Possible Injury,41
Bosque,2018,Unknown,4
Bosque,2019,Incapacitating Injury,5
Bosque,2019,Killed,4
Bosque,2019,Non-Incapacitating,16
Bosque,2019,Not Injured,123
Bosque,2019,Possible Injury,42
Bosque,2019,Unknown,5
Bosque,2020,Incapacitating Injury,9
Bosque,2020,Killed,6
Bosque,2020,Non-Incapacitating,12
